user_id,registered_at,order_id,created_at,amount_total_cents,brand_new,product_type,published_at
18300,2013-03-26 20:34:22.828,249606,2013-03-27 20:07:13.607,45500.0,0,amps,2013-03-22 16:50:11.466
29807,2013-09-25 15:13:54.556,253523,2013-09-25 15:13:54.588,256900.0,0,acoustic-guitars,2013-05-10 01:25:04.690
173831,2014-06-27 22:02:19.907,438269,2015-02-08 20:02:17.552,4400.0,1,effects-and-pedals,2013-07-16 00:46:37.524
504203,2015-10-24 18:57:28.688,713908,2015-10-24 20:15:53.857,28000.0,1,drums-and-percussion,2013-07-19 06:10:08.103
263273,2014-12-01 19:18:51.929,411747,2015-01-03 16:50:47.494,3800.0,1,accessories,2013-06-06 21:50:18.745
46893,2013-12-04 09:50:56.716,257994,2013-12-04 13:26:22.856,13500.0,1,effects-and-pedals,2013-10-23 02:12:27.158
50490,2013-12-09 00:14:38.714,259291,2013-12-09 00:14:38.751,305000.0,0,acoustic-guitars,2013-11-20 21:46:08.456
24657,2013-07-17 22:20:04.139,253128,2013-09-15 23:50:39.506,5000.0,0,effects-and-pedals,2013-09-15 05:05:13.298
54183,2013-12-17 15:56:35.618,278824,2014-03-14 17:28:40.706,13500.0,1,effects-and-pedals,2013-10-19 20:23:55.120
58835,2013-12-31 17:56:16.424,262623,2013-12-31 17:56:16.473,13499.0,0,effects-and-pedals,2013-11-07 21:55:18.293
222490,2014-09-22 19:20:21.705,351212,2014-09-22 20:47:41.994,13600.0,1,drums-and-percussion,2013-11-24 20:55:15.889
31799,2013-10-18 07:55:56.359,257379,2013-11-27 19:05:34.244,1595.0,1,parts,2013-07-19 07:22:43.983
47008,2013-12-05 01:40:28.037,258057,2013-12-05 01:40:28.075,5700.0,0,effects-and-pedals,2013-11-24 00:17:07.332
621393,2016-02-09 19:15:19.956,893147,2016-02-09 19:16:00.523,9999.0,1,accessories,2014-02-12 18:27:43.680
267528,2014-12-05 23:32:28.277,392248,2014-12-05 23:35:00.298,9999.0,1,amps,2014-01-15 01:41:27.467
121013,2014-03-26 14:01:25.095,282112,2014-03-26 20:56:58.916,99900.0,0,electric-guitars,2014-01-15 12:56:58.454
31799,2013-10-18 07:55:56.359,268467,2014-01-31 16:57:06.693,12500.0,0,effects-and-pedals,2014-01-30 18:29:03.958
142640,2014-04-19 05:48:22.697,363802,2014-10-18 13:50:55.600,1900.0,0,parts,2014-01-01 20:09:24.257
193416,2014-07-25 21:51:01.767,417726,2015-01-12 18:16:34.172,12500.0,1,effects-and-pedals,2013-10-19 20:30:55.130
27262,2013-08-26 03:49:42.113,262744,2014-01-01 22:59:27.488,10235.0,0,effects-and-pedals,2013-12-15 11:01:50.845
55280,2013-12-20 13:02:45.488,271622,2014-02-12 09:34:06.608,189000.0,0,electric-guitars,2014-02-01 16:16:38.300
127719,2014-04-01 03:04:20.428,295949,2014-05-06 01:56:53.458,23500.0,0,effects-and-pedals,2014-03-11 22:09:33.652
90906,2014-02-18 18:23:00.912,274728,2014-02-25 20:54:46.320,7400.0,0,effects-and-pedals,2014-02-25 18:18:10.749
186800,2014-07-13 20:50:04.369,321936,2014-07-19 18:40:41.428,37500.0,0,electric-guitars,2014-03-15 15:31:53.124
300374,2015-01-30 21:00:20.080,431444,2015-01-30 21:09:04.685,2170.0,1,accessories,2014-03-06 20:35:00.756
38311,2013-11-07 15:28:15.819,270216,2014-02-07 00:05:51.069,16000.0,0,effects-and-pedals,2014-02-06 01:58:43.016
98280,2014-02-28 01:38:54.279,279921,2014-03-19 02:27:37.163,47800.0,0,electric-guitars,2014-03-12 13:43:44.786
24657,2013-07-17 22:20:04.139,253891,2013-10-03 02:33:36.813,12500.0,0,effects-and-pedals,2013-10-02 17:07:45.881
99128,2014-02-28 21:58:11.237,293281,2014-04-29 23:27:32.296,12000.0,0,effects-and-pedals,2014-02-19 22:59:08.391
142757,2014-04-19 15:40:06.637,290104,2014-04-19 15:40:06.718,1950.0,1,parts,2014-03-17 16:46:59.576
183560,2014-07-07 12:13:42.501,318183,2014-07-07 12:13:42.535,23597.0,0,parts,2014-03-17 00:23:21.338
98127,2014-02-27 20:55:20.756,280834,2014-03-22 21:08:09.356,32000.0,0,effects-and-pedals,2014-03-22 21:03:53.762
