user_id,product_id,published_at,price_cents,brand_new,has_inventory,product_type,first_ordered_at,n_orders
22260,44959,2013-12-04 19:01:12.815,7000,0,0,effects-and-pedals,2014-04-04 23:28:36.597,1
24888,19944,2013-08-02 19:06:43.939,10000,0,0,effects-and-pedals,2013-08-03 20:41:27.270,1
24570,67678,2014-02-05 21:41:12.761,70000,0,0,electric-guitars,2015-01-14 03:27:08.793,1
22260,61019,2014-01-21 00:34:58.872,13900,1,1,effects-and-pedals,2014-10-20 04:10:32.306,2
22372,66189,2014-02-02 15:31:09.971,184900,0,0,amps,2014-05-27 19:13:58.688,1
31754,42403,2013-11-26 18:17:39.742,20000,0,0,pro-audio,2013-12-26 21:49:44.718,1
24570,22569,2013-08-23 06:18:26.137,219900,0,0,electric-guitars,2013-12-15 06:01:27.947,1
50999,46676,2013-12-11 17:48:03.549,200000,0,0,folk-instruments,2014-04-04 15:01:01.753,1
28695,55576,2014-01-09 05:20:59.871,2500,1,1,accessories,2014-01-18 01:17:13.842,1
43852,52473,2014-01-02 07:58:14.648,70000,0,0,effects-and-pedals,2014-01-02 13:02:38.956,1
31050,52961,2014-01-02 21:48:25.362,89998,1,1,electric-guitars,2014-02-17 21:04:38.852,1
6101,41803,2013-11-24 15:05:37.458,45000,0,0,electric-guitars,2014-03-03 01:01:41.520,1
89614,81266,2014-03-02 22:01:28.608,170000,0,0,electric-guitars,2014-03-22 13:44:21.530,1
30804,68321,2014-02-07 12:40:04.541,1895,1,0,accessories,2015-06-20 18:53:18.965,1
69511,75536,2014-02-19 19:58:34.874,19900,0,0,electric-guitars,2014-07-26 15:15:49.998,1
22372,66328,2014-02-02 21:42:03.192,69900,0,0,electric-guitars,2015-02-27 06:10:16.885,1
95027,94162,2014-03-24 00:06:44.778,1000000,0,0,electric-guitars,2015-01-19 23:41:05.296,1
30804,86398,2014-03-12 21:04:58.719,20995,0,0,folk-instruments,2014-03-23 12:42:56.895,1
50999,65921,2014-02-01 19:39:40.275,2000,0,0,pro-audio,2014-02-01 21:11:08.633,1
29137,26004,2013-09-18 00:06:02.355,42999,0,0,electric-guitars,2013-11-14 17:26:50.439,1
29137,26116,2013-09-18 18:49:54.446,8999,0,0,effects-and-pedals,2013-10-08 23:29:48.622,1
18473,119647,2014-04-23 23:24:20.255,17999,0,0,effects-and-pedals,2014-05-07 10:31:55.670,1
90128,99814,2014-03-29 23:06:59.362,10000,0,0,effects-and-pedals,2014-04-01 04:20:17.382,1
29137,26121,2013-09-18 19:05:06.534,6500,0,0,effects-and-pedals,2013-09-18 22:42:47.504,1
30888,79874,2014-02-27 19:43:42.448,3000,0,0,electric-guitars,2014-03-03 13:09:43.397,1
28169,102310,2014-04-03 00:32:06.581,9000,0,0,effects-and-pedals,2014-06-13 12:56:37.491,1
